Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.693262,0.228069,0.157711,0.720290,0.202463,0.170990,0.738063,0.201481,0.176404,0.754125,0.200419,0.182021,0.667755,0.202589,0.167902,0.652531,0.201812,0.171046,0.638872,0.200862,0.174692,0.774034,0.199870,0.226482,0.624611,0.199557,0.223648,0.726049,0.246120,0.180548,0.659836,0.246373,0.177506,0.893474,0.268763,0.312075,0.481661,0.293108,0.380264,0.891322,0.423283,0.241027,0.372555,0.444271,0.363493,0.809981,0.435545,0.131345,0.458038,0.522138,0.279730,0.774996,0.433330,0.100446,0.478451,0.536364,0.267175,0.754112,0.416900,0.119536,0.498904,0.531655,0.258266,0.758538,0.420085,0.133724,0.504797,0.526718,0.266203,0.721655,0.597256,0.371185,0.506213,0.593762,0.433228,0.687917,0.790108,0.162190,0.481536,0.762379,0.314718,0.649558,0.953106,0.346333,0.467091,0.922144,0.434107,0.639497,0.955089,0.420910,0.463487,0.950617,0.487454,0.634133,1.011642,0.330139,0.449469,0.983715,0.390327
1.000000,0.115747,0.688051,0.255051,0.139965,0.717227,0.228943,0.152865,0.735521,0.227826,0.158660,0.751900,0.226441,0.164689,0.663432,0.229267,0.149071,0.648752,0.228599,0.152222,0.634507,0.227634,0.155827,0.773033,0.226224,0.208933,0.620985,0.227222,0.203509,0.722387,0.270779,0.163767,0.654718,0.271703,0.160066,0.893881,0.287885,0.292522,0.473084,0.313344,0.338588,0.892771,0.447119,0.319135,0.373086,0.471633,0.350185,0.811732,0.541792,0.169584,0.451303,0.566259,0.261948,0.775501,0.560449,0.136732,0.478483,0.589960,0.247919,0.755291,0.544810,0.126020,0.495078,0.584864,0.239274,0.757679,0.540536,0.153274,0.498234,0.576352,0.246520,0.719010,0.616124,0.373171,0.503932,0.609259,0.431540,0.686256,0.799910,0.105030,0.483048,0.770170,0.280694,0.646212,0.949906,0.317115,0.465398,0.935945,0.402132,0.635686,0.945327,0.409263,0.463009,0.959898,0.453604,0.626009,1.007059,0.282473,0.446889,0.999017,0.327977
2.000000,0.234516,0.664089,0.279440,0.115950,0.697465,0.255261,0.127694,0.715279,0.254090,0.133418,0.730436,0.252660,0.139350,0.643901,0.256007,0.124499,0.629424,0.255480,0.128085,0.614737,0.254640,0.132118,0.751740,0.252736,0.185725,0.604870,0.253372,0.179979,0.695408,0.295339,0.141771,0.632499,0.296507,0.138255,0.878828,0.315084,0.277666,0.462316,0.333567,0.312019,0.902494,0.468528,0.385731,0.372976,0.503292,0.384677,0.900790,0.586841,0.225289,0.359750,0.619250,0.326169,0.903447,0.618951,0.190199,0.333978,0.650454,0.315382,0.889930,0.608409,0.181360,0.357524,0.650118,0.298281,0.863768,0.602486,0.192106,0.375211,0.638112,0.303267,0.717803,0.636258,0.373870,0.497716,0.628953,0.423851,0.703901,0.809343,0.085037,0.500351,0.785479,0.230743,0.678913,0.931173,0.321586,0.475761,0.929657,0.404967,0.673344,0.923312,0.405189,0.467123,0.950374,0.456704,0.644629,0.989288,0.314980,0.487576,0.989854,0.384617
3.000000,0.348241,0.662782,0.304084,0.085474,0.695235,0.279353,0.099346,0.713260,0.278310,0.105901,0.729075,0.277103,0.112782,0.639291,0.279786,0.096359,0.623884,0.279136,0.100915,0.607844,0.278268,0.105914,0.749932,0.278355,0.163270,0.597061,0.277616,0.154235,0.694400,0.321004,0.117210,0.629040,0.322030,0.114032,0.873665,0.344071,0.267233,0.456519,0.358552,0.291684,0.907583,0.489654,0.423649,0.364581,0.524850,0.407674,0.925210,0.624780,0.303611,0.336979,0.638441,0.332500,0.934362,0.658509,0.269814,0.301185,0.668581,0.319665,0.920376,0.650040,0.253811,0.339840,0.672003,0.299448,0.887787,0.642693,0.270168,0.358509,0.657170,0.317989,0.719371,0.661156,0.368110,0.495962,0.652706,0.419820,0.711886,0.821235,0.052793,0.500858,0.809420,0.232477,0.691711,0.917832,0.321715,0.475988,0.926422,0.446295,0.687306,0.906804,0.400957,0.469703,0.938936,0.495813,0.658540,0.970375,0.338521,0.493234,0.983777,0.455717
4.000000,0.464844,0.632897,0.330306,0.069475,0.669707,0.304678,0.080124,0.690410,0.303117,0.086173,0.707728,0.301344,0.092648,0.615837,0.305307,0.077282,0.601341,0.304248,0.081280,0.586223,0.302911,0.085690,0.732788,0.302168,0.147290,0.582214,0.301615,0.136275,0.667215,0.346549,0.099943,0.602886,0.347463,0.096377,0.859377,0.362237,0.255111,0.445748,0.380878,0.274583,0.908471,0.489252,0.470609,0.330048,0.517040,0.457223,0.914204,0.641135,0.372632,0.299551,0.646182,0.388001,0.916854,0.677471,0.368512,0.298772,0.675793,0.365186,0.887173,0.672335,0.310064,0.318925,0.674344,0.350827,0.867855,0.661719,0.320571,0.331660,0.668513,0.353157,0.719904,0.669251,0.370771,0.490835,0.667705,0.398201,0.710486,0.840091,0.059228,0.490619,0.829872,0.179997,0.695055,0.929878,0.323273,0.475865,0.928838,0.422282,0.697541,0.919007,0.398286,0.471399,0.937500,0.470940,0.658311,0.988351,0.337603,0.491463,0.990066,0.426173
5.000000,0.581424,0.623470,0.343869,0.053815,0.659497,0.319804,0.067817,0.680112,0.318169,0.074288,0.698124,0.316336,0.081438,0.608786,0.320456,0.064357,0.596086,0.319308,0.068292,0.581118,0.317803,0.072732,0.726473,0.318950,0.139273,0.580181,0.317951,0.126994,0.657400,0.361239,0.084558,0.595501,0.361328,0.079760,0.852677,0.382329,0.247330,0.444534,0.402545,0.250209,0.915451,0.499621,0.492256,0.322825,0.542987,0.441811,0.911387,0.652089,0.451237,0.300310,0.651748,0.416216,0.898382,0.685465,0.459893,0.297794,0.678702,0.425886,0.861626,0.685718,0.419525,0.327522,0.680168,0.397221,0.847250,0.674493,0.413428,0.337222,0.668365,0.409833,0.718687,0.686449,0.370996,0.485327,0.682768,0.374156,0.709756,0.826329,0.042826,0.482748,0.834398,0.113357,0.692402,0.867937,0.397091,0.467818,0.851482,0.470103,0.694897,0.846248,0.451865,0.466049,0.831333,0.518626,0.652706,0.910929,0.498009,0.479970,0.897863,0.577945
6.000000,0.695774,0.630370,0.351677,0.037266,0.665695,0.326844,0.053451,0.685820,0.325182,0.059743,0.703609,0.323388,0.066801,0.610367,0.327583,0.051251,0.596645,0.326334,0.055895,0.580638,0.324749,0.061282,0.727001,0.326507,0.124309,0.569668,0.325847,0.117502,0.664280,0.366670,0.066036,0.595872,0.367333,0.063211,0.849532,0.397833,0.227144,0.432431,0.411686,0.250207,0.912691,0.501933,0.502352,0.325969,0.539661,0.467605,0.870147,0.654073,0.514492,0.319148,0.650585,0.462446,0.852882,0.687827,0.528757,0.314244,0.672787,0.483708,0.821671,0.692011,0.476546,0.332083,0.683367,0.448043,0.815396,0.680816,0.469884,0.344660,0.672641,0.440163,0.712919,0.698985,0.370715,0.479884,0.689529,0.368701,0.710266,0.824409,0.036724,0.480102,0.813648,0.076814,0.695032,0.865202,0.379769,0.466026,0.839474,0.444480,0.695221,0.848878,0.435409,0.463926,0.827529,0.491732,0.664365,0.902954,0.439849,0.486467,0.875897,0.506976
7.000000,0.810866,0.632771,0.344445,0.040570,0.668038,0.320207,0.055957,0.687640,0.319260,0.061918,0.705665,0.318209,0.068656,0.610756,0.320702,0.054436,0.596884,0.319979,0.059022,0.580796,0.318942,0.064069,0.727076,0.323199,0.125920,0.567180,0.320901,0.116624,0.666341,0.362175,0.066061,0.596314,0.362905,0.064293,0.845862,0.394982,0.219200,0.429228,0.404019,0.238555,0.910145,0.501264,0.505721,0.327219,0.541447,0.443345,0.863527,0.660036,0.528442,0.326229,0.658406,0.423397,0.852498,0.694654,0.550632,0.316983,0.700069,0.458179,0.820047,0.698417,0.508467,0.339016,0.708412,0.440424,0.812945,0.688499,0.496725,0.355677,0.683003,0.421873,0.704869,0.696719,0.365155,0.476510,0.685753,0.363697,0.704402,0.821007,0.032955,0.470388,0.802122,0.122753,0.691637,0.879891,0.339386,0.450226,0.857870,0.456953,0.690661,0.869439,0.390947,0.448771,0.855876,0.510886,0.661244,0.924665,0.403176,0.474168,0.904615,0.503681
8.000000,0.923031,0.631594,0.329072,0.050493,0.666352,0.307970,0.071293,0.685897,0.307242,0.078096,0.704290,0.306605,0.085155,0.608608,0.308812,0.068029,0.594960,0.308537,0.072345,0.578460,0.308079,0.076878,0.726059,0.312801,0.138048,0.565213,0.311432,0.128256,0.665839,0.348780,0.077615,0.595384,0.349910,0.074034,0.845114,0.384980,0.228258,0.428982,0.403719,0.238272,0.908469,0.493739,0.509147,0.312918,0.549820,0.408632,0.837217,0.656774,0.533432,0.330620,0.670616,0.410198,0.807950,0.692527,0.568654,0.322235,0.705504,0.424180,0.794016,0.697732,0.520702,0.349825,0.711870,0.408365,0.792312,0.688275,0.507290,0.360589,0.698378,0.405194,0.700011,0.692023,0.365521,0.470595,0.684233,0.366723,0.698531,0.820282,0.029964,0.471537,0.798020,0.178227,0.687165,0.852540,0.347414,0.445016,0.821270,0.559612,0.686237,0.832789,0.394228,0.442717,0.811756,0.599503,0.653993,0.889842,0.451591,0.457643,0.847379,0.654941
