Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.711551,0.173045,0.386901,0.716935,0.155126,0.404966,0.719661,0.153848,0.415952,0.721781,0.152107,0.426449,0.695708,0.156179,0.386732,0.682206,0.155912,0.382557,0.667136,0.155736,0.378267,0.687044,0.153744,0.470242,0.603029,0.158821,0.408853,0.697371,0.189043,0.411508,0.671517,0.190712,0.390120,0.742635,0.224683,0.574223,0.432720,0.265713,0.423775,0.744294,0.316206,0.759171,0.317974,0.382651,0.316809,0.746111,0.416200,0.797884,0.456400,0.282668,0.236725,0.749524,0.446408,0.811723,0.481476,0.253859,0.210243,0.745229,0.447938,0.771798,0.483401,0.240203,0.226181,0.736710,0.439553,0.760439,0.480652,0.249076,0.240073,0.665559,0.499064,0.446264,0.468563,0.497552,0.396696,0.557263,0.649544,0.165380,0.428217,0.679583,0.333097,0.569745,0.823284,0.385190,0.434639,0.858542,0.380895,0.560464,0.840479,0.451410,0.435859,0.887688,0.433352,0.571640,0.926126,0.293394,0.419690,0.930253,0.207702
1.000000,0.100634,0.712659,0.172310,0.386666,0.717618,0.154192,0.404991,0.720156,0.152848,0.415963,0.722132,0.151026,0.426469,0.696673,0.155371,0.386566,0.683298,0.155199,0.382104,0.668322,0.155184,0.377491,0.686391,0.153056,0.470509,0.604596,0.158671,0.408409,0.698178,0.188108,0.411070,0.672813,0.190307,0.389016,0.744247,0.224469,0.574508,0.432745,0.265059,0.421262,0.745690,0.316017,0.762393,0.317863,0.379634,0.316094,0.746588,0.417277,0.794211,0.453385,0.280445,0.235951,0.749674,0.448162,0.807763,0.476997,0.252644,0.209764,0.745116,0.449509,0.767892,0.479578,0.237675,0.227303,0.736932,0.440148,0.755954,0.478258,0.245977,0.240900,0.665482,0.497460,0.454444,0.468404,0.494177,0.399832,0.555279,0.640230,0.148054,0.419031,0.676845,0.330390,0.570432,0.800590,0.396798,0.429750,0.853998,0.359014,0.562037,0.814932,0.458366,0.430895,0.883747,0.418530,0.567002,0.874951,0.302194,0.410616,0.926947,0.193827
2.000000,0.202945,0.713361,0.172314,0.386611,0.718079,0.154183,0.405015,0.720271,0.152834,0.415975,0.721848,0.151024,0.426483,0.697360,0.155420,0.386517,0.683769,0.155286,0.381979,0.668581,0.155314,0.377323,0.684593,0.153027,0.470519,0.605458,0.158800,0.407938,0.698924,0.188092,0.410840,0.673712,0.190339,0.388548,0.743846,0.223961,0.575183,0.432782,0.264571,0.422647,0.733268,0.317730,0.764517,0.320276,0.379698,0.312254,0.741725,0.420394,0.786867,0.471588,0.279142,0.239019,0.750322,0.449959,0.798493,0.501763,0.251901,0.213042,0.744834,0.450936,0.760671,0.503118,0.237758,0.229232,0.736641,0.441509,0.749370,0.499000,0.246861,0.242962,0.665830,0.494256,0.455513,0.468368,0.491815,0.408506,0.555786,0.637364,0.145303,0.427726,0.677564,0.330592,0.570804,0.784743,0.399978,0.433257,0.852745,0.342885,0.561906,0.798895,0.456870,0.432371,0.884150,0.393689,0.566909,0.869478,0.326242,0.422527,0.895510,0.194924
3.000000,0.317151,0.713493,0.172361,0.386598,0.718109,0.154161,0.405039,0.720553,0.152798,0.416130,0.722360,0.151014,0.426694,0.696947,0.155472,0.386223,0.683340,0.155371,0.381203,0.668322,0.155455,0.376121,0.685569,0.153029,0.470883,0.605114,0.158886,0.406472,0.699545,0.188090,0.410844,0.674183,0.190505,0.388061,0.744192,0.223709,0.578794,0.432797,0.264260,0.418774,0.731824,0.320093,0.768839,0.321839,0.379647,0.309567,0.735260,0.423336,0.769198,0.475698,0.279509,0.241218,0.742498,0.452905,0.778881,0.506534,0.253403,0.214955,0.740475,0.452921,0.742144,0.506830,0.239172,0.230492,0.732353,0.443724,0.732618,0.502215,0.247668,0.244310,0.665152,0.492734,0.466027,0.468278,0.490004,0.409978,0.551988,0.637709,0.148517,0.438735,0.676032,0.331683,0.567984,0.788826,0.398618,0.434495,0.845353,0.355198,0.558487,0.796331,0.455726,0.432975,0.884273,0.396747,0.563240,0.876706,0.313229,0.428472,0.903141,0.196125
4.000000,0.421596,0.713317,0.172722,0.386604,0.718039,0.154285,0.405059,0.720753,0.152887,0.416173,0.722753,0.151164,0.426821,0.696230,0.155856,0.385945,0.682445,0.155798,0.380765,0.667351,0.155913,0.375631,0.686097,0.153129,0.471082,0.604596,0.159086,0.404913,0.699999,0.188499,0.410849,0.674035,0.191229,0.387869,0.744453,0.223602,0.578451,0.432841,0.263860,0.418122,0.732029,0.321055,0.765126,0.322773,0.373532,0.316718,0.731716,0.425281,0.751854,0.477357,0.276691,0.238925,0.736002,0.455276,0.756118,0.508930,0.252176,0.214146,0.735828,0.454868,0.722633,0.508555,0.238495,0.230848,0.728185,0.445655,0.714243,0.503558,0.246197,0.244360,0.664836,0.493086,0.466691,0.468204,0.490081,0.410124,0.551820,0.640070,0.145721,0.440776,0.671908,0.326292,0.566382,0.795979,0.395836,0.434471,0.845070,0.365082,0.556302,0.805222,0.453431,0.432922,0.879244,0.399098,0.561534,0.883843,0.329277,0.428661,0.900345,0.213260
5.000000,0.535395,0.713403,0.172555,0.386606,0.718294,0.154177,0.405008,0.720867,0.152785,0.416130,0.723211,0.151092,0.426827,0.696023,0.155838,0.385418,0.682099,0.155798,0.379989,0.666711,0.155928,0.374735,0.690656,0.153045,0.471072,0.604914,0.159104,0.403348,0.700558,0.188378,0.410854,0.674407,0.191211,0.387735,0.748684,0.223528,0.577531,0.436529,0.263707,0.419252,0.756754,0.322128,0.757223,0.328208,0.374062,0.321769,0.744287,0.425561,0.744941,0.474018,0.282907,0.239153,0.743808,0.456128,0.751040,0.502492,0.259507,0.214446,0.738191,0.456046,0.716705,0.502614,0.245122,0.231209,0.731328,0.446736,0.711291,0.499351,0.252416,0.244652,0.665723,0.492194,0.464738,0.467765,0.490335,0.408658,0.567555,0.644291,0.151331,0.445670,0.672593,0.325099,0.573463,0.805867,0.394671,0.450534,0.850882,0.374940,0.563291,0.818904,0.454391,0.448110,0.884795,0.422490,0.568845,0.913612,0.317566,0.452279,0.920273,0.233504
6.000000,0.645918,0.713536,0.172089,0.386304,0.718483,0.153607,0.404735,0.721102,0.152183,0.415902,0.723396,0.150516,0.426758,0.696081,0.155475,0.384207,0.682186,0.155522,0.378399,0.666802,0.155748,0.373006,0.691882,0.152549,0.470687,0.605209,0.158930,0.401397,0.700651,0.188144,0.410805,0.674685,0.191131,0.387387,0.751726,0.223500,0.577348,0.439103,0.263682,0.417700,0.766715,0.322234,0.747321,0.331755,0.374663,0.324571,0.750575,0.425984,0.713281,0.472367,0.288174,0.238379,0.748196,0.457016,0.712439,0.499870,0.265256,0.213790,0.740362,0.456670,0.680620,0.500045,0.251764,0.228944,0.734030,0.447473,0.675166,0.497687,0.258735,0.242541,0.666594,0.493386,0.454331,0.467708,0.495504,0.397168,0.575198,0.658190,0.162898,0.447380,0.679871,0.318197,0.578416,0.839254,0.386873,0.456326,0.858796,0.380348,0.568115,0.853989,0.447596,0.454165,0.889726,0.433968,0.574332,0.955864,0.297281,0.459196,0.938145,0.260329
7.000000,0.748056,0.713694,0.172101,0.385908,0.718610,0.153564,0.404111,0.721288,0.152097,0.415161,0.723497,0.150414,0.426262,0.695943,0.155479,0.382889,0.682171,0.155552,0.376907,0.666923,0.155812,0.371503,0.694342,0.152450,0.469881,0.606574,0.158938,0.400273,0.702126,0.188152,0.410783,0.675018,0.191437,0.387182,0.761604,0.224540,0.576726,0.441228,0.266449,0.416597,0.780162,0.332653,0.735059,0.336754,0.386979,0.334858,0.761695,0.431620,0.661338,0.462549,0.288650,0.238927,0.761188,0.461692,0.643947,0.499303,0.271373,0.211233,0.753029,0.458235,0.618581,0.499261,0.258140,0.222922,0.741299,0.448287,0.620329,0.489896,0.264461,0.236754,0.667785,0.502532,0.441139,0.468127,0.504173,0.389133,0.607395,0.680104,0.172856,0.452223,0.693348,0.320415,0.583399,0.879393,0.380683,0.454575,0.883169,0.383544,0.568107,0.885870,0.428484,0.452656,0.909362,0.430514,0.598365,0.988170,0.281785,0.458965,0.949634,0.257507
8.000000,0.859863,0.713778,0.172995,0.385617,0.718573,0.153789,0.402985,0.721409,0.152188,0.413848,0.723729,0.150448,0.425324,0.695824,0.156037,0.381266,0.682152,0.156231,0.375332,0.667001,0.156501,0.370162,0.694653,0.152440,0.468826,0.607325,0.158966,0.399608,0.702519,0.189267,0.410923,0.675127,0.193868,0.387268,0.764378,0.224844,0.572388,0.444159,0.266445,0.420936,0.783313,0.346412,0.720993,0.337762,0.395377,0.363860,0.763558,0.438076,0.596850,0.449760,0.321903,0.239579,0.761487,0.469277,0.561259,0.491417,0.304284,0.206127,0.752951,0.459603,0.531777,0.497979,0.285154,0.214397,0.741799,0.449218,0.539145,0.481870,0.289860,0.229421,0.668566,0.507081,0.425257,0.468647,0.507932,0.379959,0.617250,0.710023,0.228251,0.453795,0.705087,0.322072,0.585387,0.929615,0.352228,0.453622,0.899827,0.365740,0.567942,0.954988,0.412612,0.452158,0.933282,0.405117,0.608916,1.009776,0.226091,0.457981,0.954589,0.237048
